"Participant id","Technique","Granularity","Language","Trial no","Stimuli","User Response","Trial Start Time","Trial End Time","Trial Time","Accuracy"
"P05","AUTOCOMPASTE","sentence","English","1","What is acceptor atoms?","What is acceptor atoms?","1443337516628","1443337521124","4496","1"
"P05","AUTOCOMPASTE","paragraph","English","2","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443337521124","1443337526929","5805","1"
"P05","AUTOCOMPASTE","phrase","English","3","number of positive charges","number of positive charges","1443337526929","1443337532880","5951","1"
"P05","TRADITIONAL","sentence","English","4","What is acceptor atoms?","What is acceptor atoms?","1443337532880","1443337545446","12566","1"
"P05","TRADITIONAL","paragraph","English","5","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443337545446","1443337550981","5535","1"
"P05","TRADITIONAL","phrase","English","6","number of positive charges","number of positive charges","1443337550981","1443337559318","8337","1"
"P05","AUTOCOMPASTE","sentence","Latin","7","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","1443337559318","1443337563548","4230","1"
"P05","AUTOCOMPASTE","paragraph","Latin","8","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","1443337563548","1443337574505","10957","1"
"P05","AUTOCOMPASTE","phrase","Latin","9","fringilla tristique","fringilla tristique","1443337574505","1443337579826","5321","1"
"P05","TRADITIONAL","sentence","Latin","10","Aliquam ut commodo ex, in consequat nibh.","Aliquam ut commodo ex, in consequat nibh.","1443337579826","1443337589805","9979","1"
"P05","TRADITIONAL","paragraph","Latin","11","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","1443337589805","1443337597320","7515","1"
"P05","TRADITIONAL","phrase","Latin","12","sed consectetur tortor","sed consectetur tortor","1443337597320","1443337606185","8865","1"
