"Participant id","Technique","Granularity","Language","Trial no","Stimuli","User Response","Trial Start Time","Trial End Time","Trial Time","Accuracy"
"P03","AUTOCOMPASTE","sentence","English","1","What is acceptor atoms?","What is acceptor atoms?","1443327437387","1443327458347","20960","1"
"P03","AUTOCOMPASTE","paragraph","English","2","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443327458347","1443327463408","5061","1"
"P03","AUTOCOMPASTE","phrase","English","3","number of positive charges","The number of positive charges or protons in the nucleus of an atom.","1443327463408","1443327472088","8680","0"
"P03","TRADITIONAL","sentence","English","4","What is acceptor atoms?","What is acceptor atoms?","1443327472089","1443327477963","5874","1"
"P03","TRADITIONAL","paragraph","English","5","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443327477963","1443327482763","4800","1"
"P03","TRADITIONAL","phrase","English","6","number of positive charges","number of positive charges","1443327482763","1443327487212","4449","1"
"P03","AUTOCOMPASTE","sentence","Latin","7","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","1443327487213","1443327496064","8851","1"
"P03","AUTOCOMPASTE","paragraph","Latin","8","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","1443327496064","1443327502156","6092","1"
"P03","AUTOCOMPASTE","phrase","Latin","9","fringilla tristique","Integer semper, velit eget fringilla tristique, libero libero imperdiet metus, eu viverra nunc purus at magna.","1443327502156","1443327506992","4836","0"
"P03","TRADITIONAL","sentence","Latin","10","Aliquam ut commodo ex, in consequat nibh.","Aliquam ut commodo ex, in consequat nibh.","1443327506993","1443327513460","6467","1"
"P03","TRADITIONAL","paragraph","Latin","11","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","1443327513460","1443327520281","6821","1"
"P03","TRADITIONAL","phrase","Latin","12","sed consectetur tortor","sed consectetur tortor","1443327520282","1443327529819","9537","1"
