Participant id,Technique,Granularity,Language,Block no,Condition no,Stimuli,User Response,Trial Start Time,Trial End Time,Trial Time,Accuracy,,Legend,,,T1G2L1,T1G2L2,T1G3L1,T1G3L2,T1G1L1,T1G1L2,T2G2L1,T2G2L2,T2G3L1,T2G3L2,T2G1L1,T2G1L2
P03,AUTOCOMPASTE,phrase,English,0,1,pervades this holy place,"The darkness pervades this holy place, he thought.",1.44333E+12,1.44333E+12,6950,0,,T1: Autocompaste,,Time,13520.83333,17792,5807.833333,6766.666667,6995.333333,22833.5,15990.66667,10548.16667,14275,12327.33333,14406.83333,5232
P03,AUTOCOMPASTE,phrase,Latin,0,2,ante id sem tincidunt,ante id sem tincidunt,1.44333E+12,1.44333E+12,9478,1,,T2: Traditional,,Accuracy,0.833333333,0.833333333,1,1,1,1,1,0.666666667,1,0.833333333,1,0.833333333
P03,AUTOCOMPASTE,sentence,English,0,3,"Reluctantly, I hoisted the chalice to my lips.","Reluctantly, I hoisted the chalice to my lips.",1.44333E+12,1.44333E+12,6138,1,,G1: Paragraph,,Learning,0.7363,-0.3162,-0.1056,-0.5448,-0.355,-7.651,0.2525,-0.5751,-1.6807,-0.7594,1.0241,-0.7204
P03,AUTOCOMPASTE,sentence,Latin,0,4,Maecenas sit amet purus at enim molestie maximus at vel est.,Maecenas sit amet purus at enim molestie maximus at vel est.,1.44333E+12,1.44333E+12,7474,1,,G2: Phrase,,,,,,,,,,,,,,
P03,AUTOCOMPASTE,paragraph,English,0,5,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,1.44333E+12,1.44333E+12,8925,1,,G3: Sentence,,Trial,T1G2L1,T1G2L2,T1G3L1,T1G3L2,T1G1L1,T1G1L2,T2G2L1,T2G2L2,T2G3L1,T2G3L2,T2G1L1,T2G1L2
P03,AUTOCOMPASTE,paragraph,Latin,0,6,"Nullam eleifend lorem quis imperdiet iaculis. Pellentesque vel purus porta, fermentum ipsum non, tincidunt dui. Suspendisse scelerisque enim ac quam imperdiet laoreet.","Nullam eleifend lorem quis imperdiet iaculis. Pellentesque vel purus porta, fermentum ipsum non, tincidunt dui. Suspendisse scelerisque enim ac quam imperdiet laoreet.",1.44333E+12,1.44333E+12,6325,1,,L1: English,,1,6.95,9.478,6.138,7.474,8.925,6.325,15.917,15.342,13.425,11.683,4.835,4.202
P03,TRADITIONAL,phrase,English,0,7,propagate and split as they,propagate and split as they,1.44333E+12,1.44333E+12,15917,1,,L2: Latin,,2,13.23,11.056,4.776,7.404,6.743,97.207,10.048,8.406,20.165,19.234,5.846,5.291
P03,TRADITIONAL,phrase,Latin,0,8,ante id sem tincidunt,ante id sem tincidunt,1.44333E+12,1.44333E+12,15342,1,,,,3,18.137,48.729,6.64,8.928,6.595,11.736,7.712,12.12,17.686,9.818,16.448,10.19
P03,TRADITIONAL,sentence,English,0,9,"Leaders often split, forming branches in a tree-like pattern.","Leaders often split, forming branches in a tree-like pattern.",1.44333E+12,1.44333E+12,13425,1,,,,4,17.97,11.048,5.227,5.179,5.827,7.162,34.721,5.088,14.694,8.034,48.739,7.044
P03,TRADITIONAL,sentence,Latin,0,10,"Nunc tellus lorem, semper eget urna ac, bibendum gravida felis.","Nunc tellus lorem, semper eget urna ac, bibendum gravida felis.",1.44333E+12,1.44333E+12,11683,1,,,,5,11.907,12.516,6.29,6.906,8.106,6.41,23.086,11.417,13.307,17.326,3.8,4.255
P03,TRADITIONAL,paragraph,English,0,11,"We had arrived in the middle of a funeral ceremony. A complex ritual that, despite all the assaults of the modern world. Remained almost identical to those described by Chagnon a quarter century earlier.","We had arrived in the middle of a funeral ceremony. A complex ritual that, despite all the assaults of the modern world. Remained almost identical to those described by Chagnon a quarter century earlier.",1.44333E+12,1.44333E+12,4835,1,,,,6,12.931,13.925,4.773,4.709,5.776,8.161,4.46,10.916,6.373,7.869,6.773,0.41
P03,TRADITIONAL,paragraph,Latin,0,12,"Cras scelerisque convallis elit, quis cursus justo auctor non. Aenean congue tortor vel ullamcorper lacinia. Proin elementum ullamcorper efficitur.","Cras scelerisque convallis elit, quis cursus justo auctor non. Aenean congue tortor vel ullamcorper lacinia. Proin elementum ullamcorper efficitur.",1.44333E+12,1.44333E+12,4202,1,,,,,,,,,,,,,,,,
P03,AUTOCOMPASTE,phrase,English,0,13,can choose to take certain,can choose to take certain,1.44333E+12,1.44333E+12,13230,1,,,,,,,,,,,,,,,,
P03,AUTOCOMPASTE,phrase,Latin,0,14,bibendum mi vel neque,bibendum mi vel neque,1.44333E+12,1.44333E+12,11056,1,,,,,,,,,,,,,,,,
P03,AUTOCOMPASTE,sentence,English,0,15,A murmur from Auriel brought a fast response.,A murmur from Auriel brought a fast response.,1.44333E+12,1.44333E+12,4776,1,,,,,,,,,,,,,,,,
P03,AUTOCOMPASTE,sentence,Latin,0,16,"Donec eleifend arcu nisi, sed dapibus nunc facilisis eget.","Donec eleifend arcu nisi, sed dapibus nunc facilisis eget.",1.44333E+12,1.44333E+12,7404,1,,,,,,,,,,,,,,,,
P03,AUTOCOMPASTE,paragraph,English,0,17,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,1.44333E+12,1.44333E+12,6743,1,,,,,,,,,,,,,,,,
