Participant id,Technique,Granularity,Language,Block no,Condition no,Stimuli,User Response,Trial Start Time,Trial End Time,Trial Time,Accuracy,,Legend,,,T1G1L1,T1G1L2,T1G2L1,T1G2L2,T1G3L1,T1G3L2,T2G1L1,T2G1L2,T2G2L1,T2G2L2,T2G3L1,T2G3L2
P01,AUTOCOMPASTE,paragraph,English,0,1,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,1.44317E+12,1.44317E+12,16643,1,,T1: Autocompaste,,Time,15000.16667,14471.83333,11589.33333,8865.666667,4482.166667,5388.166667,9496.333333,13846.5,16299.16667,10487.83333,11939.66667,9775
P01,AUTOCOMPASTE,paragraph,Latin,0,2,"Suspendisse lobortis sed est pharetra aliquam. In convallis urna id diam porttitor vehicula. Maecenas luctus mauris porttitor erat dictum, nec scelerisque felis feugiat.","Suspendisse lobortis sed est pharetra aliquam. In convallis urna id diam porttitor vehicula. Maecenas luctus mauris porttitor erat dictum, nec scelerisque felis feugiat.",1.44317E+12,1.44317E+12,25387,1,,T2: Traditional,,Accuracy,1,1,1,0.833333333,1,1,1,1,1,1,1,1
P01,AUTOCOMPASTE,phrase,English,0,3,were hunting the animal,were hunting the animal,1.44317E+12,1.44317E+12,13789,1,,G1: Paragraph,,Learning,-0.0597,-0.392,-0.4346,-0.7755,-0.2065,-0.6286,1.0195,2.222,-1.1322,-0.9947,-0.2851,1.2262
P01,AUTOCOMPASTE,phrase,Latin,0,4,bibendum mi vel neque,bibendum mi vel neque,1.44317E+12,1.44317E+12,8710,1,,G2: Phrase,,,,,,,,,,,,,,
P01,AUTOCOMPASTE,sentence,English,0,5,"Reluctantly, I hoisted the chalice to my lips.","Reluctantly, I hoisted the chalice to my lips.",1.44317E+12,1.44317E+12,4624,1,,G3: Sentence,,Trial,T1G1L1,T1G1L2,T1G2L1,T1G2L2,T1G3L1,T1G3L2,T2G1L1,T2G1L2,T2G2L1,T2G2L2,T2G3L1,T2G3L2
P01,AUTOCOMPASTE,sentence,Latin,0,6,"Praesent et nunc sollicitudin, vestibulum diam non, ultricies ligula.","Praesent et nunc sollicitudin, vestibulum diam non, ultricies ligula.",1.44317E+12,1.44317E+12,5596,1,,L1: English,,1,16.643,25.387,13.789,8.710,4.624,5.596,3.924,6.062,4.906,14.141,12.444,6.560
P01,TRADITIONAL,paragraph,English,0,7,"We had arrived in the middle of a funeral ceremony. A complex ritual that, despite all the assaults of the modern world. Remained almost identical to those described by Chagnon a quarter century earlier.","We had arrived in the middle of a funeral ceremony. A complex ritual that, despite all the assaults of the modern world. Remained almost identical to those described by Chagnon a quarter century earlier.",1.44317E+12,1.44317E+12,3924,1,,L2: Latin,,2,6.191,6.759,12.565,11.083,5.449,9.276,14.600,13.091,46.953,8.396,15.055,6.711
P01,TRADITIONAL,paragraph,Latin,0,8,"Ut ornare tellus justo, luctus auctor eros facilisis quis. Nulla ac aliquet urna, et mollis elit. Integer a felis vel quam ultricies elementum. Aenean vel fringilla massa.","Ut ornare tellus justo, luctus auctor eros facilisis quis. Nulla ac aliquet urna, et mollis elit. Integer a felis vel quam ultricies elementum. Aenean vel fringilla massa.",1.44317E+12,1.44317E+12,6062,1,,,,3,25.081,8.067,9.414,13.479,4.042,4.409,6.355,10.639,10.169,14.138,11.725,9.676
P01,TRADITIONAL,phrase,English,0,9,pervades this holy place,pervades this holy place,1.44317E+12,1.44317E+12,4906,1,,,,4,13.120,14.746,10.581,5.280,4.501,4.826,9.752,6.454,5.832,8.606,7.782,14.644
P01,TRADITIONAL,phrase,Latin,0,10,dapibus nisl at neque,dapibus nisl at neque,1.44317E+12,1.44317E+12,14141,1,,,,5,16.585,16.274,12.837,7.677,4.803,3.860,8.015,41.309,9.788,10.810,10.905,7.207
P01,TRADITIONAL,sentence,English,0,11,A murmur from Auriel brought a fast response.,A murmur from Auriel brought a fast response.,1.44317E+12,1.44317E+12,12444,1,,,,6,12.381,15.598,10.350,6.965,3.474,4.362,14.332,5.524,20.147,6.836,13.727,13.852
P01,TRADITIONAL,sentence,Latin,0,12,"Nunc tellus lorem, semper eget urna ac, bibendum gravida felis.","Nunc tellus lorem, semper eget urna ac, bibendum gravida felis.",1.44317E+12,1.44317E+12,6560,1,,,,,,,,,,,,,,,,
P01,AUTOCOMPASTE,paragraph,English,0,13,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,1.44317E+12,1.44317E+12,6191,1,,,,,,,,,,,,,,,,
P01,AUTOCOMPASTE,paragraph,Latin,0,14,"Ut ornare tellus justo, luctus auctor eros facilisis quis. Nulla ac aliquet urna, et mollis elit. Integer a felis vel quam ultricies elementum. Aenean vel fringilla massa.","Ut ornare tellus justo, luctus auctor eros facilisis quis. Nulla ac aliquet urna, et mollis elit. Integer a felis vel quam ultricies elementum. Aenean vel fringilla massa.",1.44317E+12,1.44317E+12,6759,1,,,,,,,,,,,,,,,,
P01,AUTOCOMPASTE,phrase,English,0,15,can choose to take certain,can choose to take certain,1.44317E+12,1.44317E+12,12565,1,,,,,,,,,,,,,,,,
P01,AUTOCOMPASTE,phrase,Latin,0,16,dapibus nisl at neque,dapibus nisl at neque.,1.44317E+12,1.44317E+12,11083,0,,,,,,,,,,,,,,,,
P01,AUTOCOMPASTE,sentence,English,0,17,Yet we could see that certain traditions were still intact.,Yet we could see that certain traditions were still intact.,1.44317E+12,1.44317E+12,5449,1,,,,,,,,,,,,,,,,
P01,AUTOCOMPASTE,sentence,Latin,0,18,"Morbi fringilla euismod dolor, eu consectetur sapien efficitur sed.","Morbi fringilla euismod dolor, eu consectetur sapien efficitur sed.",1.44317E+12,1.44317E+12,9276,1,,,,,,,,,,,,,,,,
P01,TRADITIONAL,paragraph,English,0,19,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,1.44317E+12,1.44317E+12,14600,1,,,,,,,,,,,,,,,,
P01,TRADITIONAL,paragraph,Latin,0,20,"Praesent sem mi, pharetra in hendrerit in, egestas nec metus. Cras pretium velit ipsum, sed convallis orci dignissim ut. In mattis justo gravida fermentum hendrerit. Cras mattis justo eu nisl iaculis lobortis.","Praesent sem mi, pharetra in hendrerit in, egestas nec metus. Cras pretium velit ipsum, sed convallis orci dignissim ut. In mattis justo gravida fermentum hendrerit. Cras mattis justo eu nisl iaculis lobortis.",1.44317E+12,1.44317E+12,13091,1,,,,,,,,,,,,,,,,
P01,TRADITIONAL,phrase,English,0,21,directly involved more than,directly involved more than,1.44317E+12,1.44317E+12,46953,1,,,,,,,,,,,,,,,,
