"Participant id","Technique","Granularity","Language","Trial no","Stimuli","User Response","Trial Start Time","Trial End Time","Trial Time","Accuracy"
"P01","AUTOCOMPASTE","sentence","English","1","What is acceptor atoms?","What is acceptor atoms?","1443172325931","1443172337207","11276","1"
"P01","AUTOCOMPASTE","paragraph","English","2","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443172337208","1443172348825","11617","1"
"P01","AUTOCOMPASTE","phrase","English","3","number of positive charges","number of positive charges","1443172348825","1443172358145","9320","1"
"P01","TRADITIONAL","sentence","English","4","What is acceptor atoms?","What is acceptor atoms?","1443172358145","1443172376441","18296","1"
"P01","TRADITIONAL","paragraph","English","5","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443172376441","1443172387206","10765","1"
"P01","TRADITIONAL","phrase","English","6","number of positive charges","number of positive charges","1443172387206","1443172397512","10306","1"
"P01","AUTOCOMPASTE","sentence","Latin","7","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","1443172397512","1443172404954","7442","1"
"P01","AUTOCOMPASTE","paragraph","Latin","8","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","1443172404954","1443172437156","32202","1"
"P01","AUTOCOMPASTE","phrase","Latin","9","fringilla tristique","fringilla tristique","1443172437156","1443172443519","6363","1"
"P01","TRADITIONAL","sentence","Latin","10","Aliquam ut commodo ex, in consequat nibh.","Aliquam ut commodo ex, in consequat nibh.","1443172443519","1443172456941","13422","1"
"P01","TRADITIONAL","paragraph","Latin","11","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","1443172456941","1443172464577","7636","1"
"P01","TRADITIONAL","phrase","Latin","12","sed consectetur tortor","sed consectetur tortor","1443172464577","1443172473641","9064","1"
