"Participant id","Technique","Granularity","Language","Trial no","Stimuli","User Response","Trial Start Time","Trial End Time","Trial Time","Accuracy"
"P10","AUTOCOMPASTE","sentence","English","1","What is acceptor atoms?","What is acceptor atoms?","1443178851457","1443178856218","4761","1"
"P10","AUTOCOMPASTE","paragraph","English","2","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443178856218","1443178863236","7018","1"
"P10","AUTOCOMPASTE","phrase","English","3","number of positive charges","number of positive charges","1443178863236","1443178873765","10529","1"
"P10","TRADITIONAL","sentence","English","4","What is acceptor atoms?","What is acceptor atoms?","1443178873765","1443178895962","22197","1"
"P10","TRADITIONAL","paragraph","English","5","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443178895962","1443178921474","25512","1"
"P10","TRADITIONAL","phrase","English","6","number of positive charges","number of positive charges","1443178921474","1443178928100","6626","1"
"P10","AUTOCOMPASTE","sentence","Latin","7","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","1443178928101","1443178933480","5379","1"
"P10","AUTOCOMPASTE","paragraph","Latin","8","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Nulla ut commodo justo.","1443178933480","1443178960917","27437","0"
"P10","AUTOCOMPASTE","phrase","Latin","9","fringilla tristique","fringilla tristique","1443178960917","1443178971438","10521","1"
"P10","TRADITIONAL","sentence","Latin","10","Aliquam ut commodo ex, in consequat nibh.","Aliquam ut commodo ex, in consequat nibh.","1443178971439","1443178991263","19824","1"
"P10","TRADITIONAL","paragraph","Latin","11","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","1443178991263","1443179004551","13288","1"
"P10","TRADITIONAL","phrase","Latin","12","sed consectetur tortor","sed consectetur tortor","1443179004551","1443179016668","12117","1"
