Participant id,Technique,Granularity,Language,Block no,Condition no,Stimuli,User Response,Trial Start Time,Trial End Time,Trial Time,Accuracy,,Legend,,,T1G3L2,T1G3L1,T1G1L2,T1G1L1,T1G2L2,T1G2L1,T2G3L2,T2G3L1,T2G1L2,T2G1L1,T2G2L2,T2G2L1
P06,AUTOCOMPASTE,sentence,Latin,0,1,Maecenas sit amet purus at enim molestie maximus at vel est.,Maecenas sit amet purus at enim molestie maximus at vel est.,1.44E+12,1.44E+12,6447,1,,T1: Autocompaste,,Time,8307,6926,9494.5,12300,11770.33333,10534.83333,18669.16667,14777.66667,13686.66667,15565.66667,11418.5,11834.16667
P06,AUTOCOMPASTE,sentence,English,0,2,"The darkness pervades this holy place, he thought.","The darkness pervades this holy place, he thought.",1.44E+12,1.44E+12,3796,1,,T2: Traditional,,Accuracy,1,1,0.833333333,1,1,1,1,1,1,1,1,1
P06,AUTOCOMPASTE,paragraph,Latin,0,3,"Praesent sem mi, pharetra in hendrerit in, egestas nec metus. Cras pretium velit ipsum, sed convallis orci dignissim ut. In mattis justo gravida fermentum hendrerit. Cras mattis justo eu nisl iaculis lobortis.","Praesent sem mi, pharetra in hendrerit in, egestas nec metus. Cras pretium velit ipsum, sed convallis orci dignissim ut. In mattis justo gravida fermentum hendrerit. Cras mattis justo eu nisl iaculis lobortis.",1.44E+12,1.44E+12,9760,1,,G1: Paragraph,,Learning,-0.337,0.6929,0.2465,-2.2654,-1.069,0.4946,-2.254,-1.8182,-2.7696,-0.2335,-2.1271,-3.404
P06,AUTOCOMPASTE,paragraph,English,0,4,The positively and negatively charged leaders proceed in opposite directions. Positive upwards within the cloud and negative towards the earth. Both ionic channels proceed. In their respective directions. In a number of successive spurts.,The positively and negatively charged leaders proceed in opposite directions. Positive upwards within the cloud and negative towards the earth. Both ionic channels proceed. In their respective directions. In a number of successive spurts.,1.44E+12,1.44E+12,19104,1,,G2: Phrase,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,phrase,Latin,0,5,nunc a nisi fermentum,nunc a nisi fermentum,1.44E+12,1.44E+12,17949,1,,G3: Sentence,,Trial,T1G3L2,T1G3L1,T1G1L2,T1G1L1,T1G2L2,T1G2L1,T2G3L2,T2G3L1,T2G1L2,T2G1L1,T2G2L2,T2G2L1
P06,AUTOCOMPASTE,phrase,English,0,6,also known as the Second,also known as the Second,1.44E+12,1.44E+12,6503,1,,L1: English,,1,6.447,3.796,9.76,19.104,17.949,6.503,25.831,23.596,25.275,12.53,8.759,18.813
P06,TRADITIONAL,sentence,Latin,0,7,"Praesent et nunc sollicitudin, vestibulum diam non, ultricies ligula.","Praesent et nunc sollicitudin, vestibulum diam non, ultricies ligula.",1.44E+12,1.44E+12,25831,1,,L2: Latin,,2,7.073,3.886,5.406,12.407,7.738,9.68,21.886,13.72,19.078,32.425,20.472,25.128
P06,TRADITIONAL,sentence,English,0,8,It creeps in unbidden and corrupts everything it touches.,It creeps in unbidden and corrupts everything it touches.,1.44E+12,1.44E+12,23596,1,,,,3,14.808,11.72,7.327,15.261,14.085,15.108,24.12,18.883,5.199,6.506,19.974,6.622
P06,TRADITIONAL,paragraph,Latin,0,9,"Cras scelerisque convallis elit, quis cursus justo auctor non. Aenean congue tortor vel ullamcorper lacinia. Proin elementum ullamcorper efficitur.","Cras scelerisque convallis elit, quis cursus justo auctor non. Aenean congue tortor vel ullamcorper lacinia. Proin elementum ullamcorper efficitur.",1.44E+12,1.44E+12,25275,1,,,,4,10.226,4.811,19.271,13.518,7.82,6.575,8.023,5.446,9.141,9.735,8.698,8.191
P06,TRADITIONAL,paragraph,English,0,10,This means that there is need for a regular sequence of new editions. Normally one or two per year achieving that sequence can pose problems for the Editorial Secretary. Who may have too few or too many texts ready for publication at any one time.,This means that there is need for a regular sequence of new editions. Normally one or two per year achieving that sequence can pose problems for the Editorial Secretary. Who may have too few or too many texts ready for publication at any one time.,1.44E+12,1.44E+12,12530,1,,,,5,5.099,12.459,7.157,6.177,16.671,19.658,14.378,13.083,17.202,6.234,5.5,6.257
P06,TRADITIONAL,phrase,Latin,0,11,nunc a nisi fermentum,nunc a nisi fermentum,1.44E+12,1.44E+12,8759,1,,,,6,6.189,4.884,8.046,7.333,6.359,5.685,17.777,13.938,6.225,25.964,5.108,5.994
P06,TRADITIONAL,phrase,English,0,12,can choose to take certain,can choose to take certain,1.44E+12,1.44E+12,18813,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,sentence,Latin,0,13,"Donec eleifend arcu nisi, sed dapibus nunc facilisis eget.","Donec eleifend arcu nisi, sed dapibus nunc facilisis eget.",1.44E+12,1.44E+12,7073,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,sentence,English,0,14,A murmur from Auriel brought a fast response.,A murmur from Auriel brought a fast response.,1.44E+12,1.44E+12,3886,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,paragraph,Latin,0,15,"Cras scelerisque convallis elit, quis cursus justo auctor non. Aenean congue tortor vel ullamcorper lacinia. Proin elementum ullamcorper efficitur.","Cras scelerisque convallis elit, quis cursus justo auctor non. Aenean congue tortor vel ullamcorper lacinia. Proin elementum ullamcorper efficitur.",1.44E+12,1.44E+12,5406,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,paragraph,English,0,16,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,1.44E+12,1.44E+12,12407,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,phrase,Latin,0,17,risus elit lobortis,risus elit lobortis,1.44E+12,1.44E+12,7738,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,phrase,English,0,18,propagate and split as they,propagate and split as they,1.44E+12,1.44E+12,9680,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,sentence,Latin,0,19,"Etiam purus mauris, finibus et fermentum sed, commodo ac lorem.","Etiam purus mauris, finibus et fermentum sed, commodo ac lorem.",1.44E+12,1.44E+12,21886,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,sentence,English,0,20,A murmur from Auriel brought a fast response.,A murmur from Auriel brought a fast response.,1.44E+12,1.44E+12,13720,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,paragraph,Latin,0,21,"Praesent sem mi, pharetra in hendrerit in, egestas nec metus. Cras pretium velit ipsum, sed convallis orci dignissim ut. In mattis justo gravida fermentum hendrerit. Cras mattis justo eu nisl iaculis lobortis.","Praesent sem mi, pharetra in hendrerit in, egestas nec metus. Cras pretium velit ipsum, sed convallis orci dignissim ut. In mattis justo gravida fermentum hendrerit. Cras mattis justo eu nisl iaculis lobortis.",1.44E+12,1.44E+12,19078,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,paragraph,English,0,22,"We had arrived in the middle of a funeral ceremony. A complex ritual that, despite all the assaults of the modern world. Remained almost identical to those described by Chagnon a quarter century earlier.","We had arrived in the middle of a funeral ceremony. A complex ritual that, despite all the assaults of the modern world. Remained almost identical to those described by Chagnon a quarter century earlier.",1.44E+12,1.44E+12,32425,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,phrase,Latin,0,23,dapibus nisl at neque,dapibus nisl at neque,1.44E+12,1.44E+12,20472,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,phrase,English,0,24,propagate and split as they,propagate and split as they,1.44E+12,1.44E+12,25128,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,sentence,Latin,0,25,"Etiam purus mauris, finibus et fermentum sed, commodo ac lorem.","Etiam purus mauris, finibus et fermentum sed, commodo ac lorem.",1.44E+12,1.44E+12,14808,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,sentence,English,0,26,"Reluctantly, I hoisted the chalice to my lips.","Reluctantly, I hoisted the chalice to my lips.",1.44E+12,1.44E+12,11720,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,paragraph,Latin,0,27,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus lacus neque, fringilla quis tortor nec, accumsan volutpat sem.","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus lacus neque, fringilla quis tortor nec, accumsan volutpat sem.",1.44E+12,1.44E+12,7327,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,paragraph,English,0,28,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,1.44E+12,1.44E+12,15261,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,phrase,Latin,0,29,bibendum mi vel neque,bibendum mi vel neque,1.44E+12,1.44E+12,14085,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,phrase,English,0,30,directly involved more than,directly involved more than,1.44E+12,1.44E+12,15108,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,sentence,Latin,0,31,"Morbi fringilla euismod dolor, eu consectetur sapien efficitur sed.","Morbi fringilla euismod dolor, eu consectetur sapien efficitur sed.",1.44E+12,1.44E+12,24120,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,sentence,English,0,32,"The darkness pervades this holy place, he thought.","The darkness pervades this holy place, he thought.",1.44E+12,1.44E+12,18883,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,paragraph,Latin,0,33,"Ut ornare tellus justo, luctus auctor eros facilisis quis. Nulla ac aliquet urna, et mollis elit. Integer a felis vel quam ultricies elementum. Aenean vel fringilla massa.","Ut ornare tellus justo, luctus auctor eros facilisis quis. Nulla ac aliquet urna, et mollis elit. Integer a felis vel quam ultricies elementum. Aenean vel fringilla massa.",1.44E+12,1.44E+12,5199,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,paragraph,English,0,34,The positively and negatively charged leaders proceed in opposite directions. Positive upwards within the cloud and negative towards the earth. Both ionic channels proceed. In their respective directions. In a number of successive spurts.,The positively and negatively charged leaders proceed in opposite directions. Positive upwards within the cloud and negative towards the earth. Both ionic channels proceed. In their respective directions. In a number of successive spurts.,1.44E+12,1.44E+12,6506,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,phrase,Latin,0,35,bibendum mi vel neque,bibendum mi vel neque,1.44E+12,1.44E+12,19974,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,phrase,English,0,36,pervades this holy place,pervades this holy place,1.44E+12,1.44E+12,6622,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,sentence,Latin,1,1,"Morbi fringilla euismod dolor, eu consectetur sapien efficitur sed.","Morbi fringilla euismod dolor, eu consectetur sapien efficitur sed.",1.44E+12,1.44E+12,10226,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,sentence,English,1,2,It creeps in unbidden and corrupts everything it touches.,It creeps in unbidden and corrupts everything it touches.,1.44E+12,1.44E+12,4811,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,paragraph,Latin,1,3,"Suspendisse lobortis sed est pharetra aliquam. In convallis urna id diam porttitor vehicula. Maecenas luctus mauris porttitor erat dictum, nec scelerisque felis feugiat.","Suspendisse id mi eu erat semper venenatis ac id ipsum. In convallis urna id diam porttitor vehicula. Maecenas luctus mauris porttitor erat dictum, nec scelerisque felis feugiat.",1.44E+12,1.44E+12,19271,0,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,paragraph,English,1,4,"We had arrived in the middle of a funeral ceremony. A complex ritual that, despite all the assaults of the modern world. Remained almost identical to those described by Chagnon a quarter century earlier.","We had arrived in the middle of a funeral ceremony. A complex ritual that, despite all the assaults of the modern world. Remained almost identical to those described by Chagnon a quarter century earlier.",1.44E+12,1.44E+12,13518,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,phrase,Latin,1,5,aliquet et dolor mattis,aliquet et dolor mattis,1.44E+12,1.44E+12,7820,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,phrase,English,1,6,pervades this holy place,pervades this holy place,1.44E+12,1.44E+12,6575,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,sentence,Latin,1,7,"Nunc tellus lorem, semper eget urna ac, bibendum gravida felis.","Nunc tellus lorem, semper eget urna ac, bibendum gravida felis.",1.44E+12,1.44E+12,8023,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,sentence,English,1,8,Yet we could see that certain traditions were still intact.,Yet we could see that certain traditions were still intact.,1.44E+12,1.44E+12,5446,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,paragraph,Latin,1,9,"Nullam eleifend lorem quis imperdiet iaculis. Pellentesque vel purus porta, fermentum ipsum non, tincidunt dui. Suspendisse scelerisque enim ac quam imperdiet laoreet.","Nullam eleifend lorem quis imperdiet iaculis. Pellentesque vel purus porta, fermentum ipsum non, tincidunt dui. Suspendisse scelerisque enim ac quam imperdiet laoreet.",1.44E+12,1.44E+12,9141,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,paragraph,English,1,10,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,1.44E+12,1.44E+12,9735,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,phrase,Latin,1,11,aliquet et dolor mattis,aliquet et dolor mattis,1.44E+12,1.44E+12,8698,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,phrase,English,1,12,also known as the Second,also known as the Second,1.44E+12,1.44E+12,8191,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,sentence,Latin,1,13,"Nunc tellus lorem, semper eget urna ac, bibendum gravida felis.","Nunc tellus lorem, semper eget urna ac, bibendum gravida felis.",1.44E+12,1.44E+12,5099,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,sentence,English,1,14,"Leaders often split, forming branches in a tree-like pattern.","Leaders often split, forming branches in a tree-like pattern.",1.44E+12,1.44E+12,12459,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,paragraph,Latin,1,15,"Nullam eleifend lorem quis imperdiet iaculis. Pellentesque vel purus porta, fermentum ipsum non, tincidunt dui. Suspendisse scelerisque enim ac quam imperdiet laoreet.","Nullam eleifend lorem quis imperdiet iaculis. Pellentesque vel purus porta, fermentum ipsum non, tincidunt dui. Suspendisse scelerisque enim ac quam imperdiet laoreet.",1.44E+12,1.44E+12,7157,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,paragraph,English,1,16,"During the 20th century, over 200,000 humpbacks were estimated to have been taken. Reducing the global population by over 90%. With North Atlantic populations estimated to have dropped to as low as 700 individuals.","During the 20th century, over 200,000 humpbacks were estimated to have been taken. Reducing the global population by over 90%. With North Atlantic populations estimated to have dropped to as low as 700 individuals.",1.44E+12,1.44E+12,6177,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,phrase,Latin,1,17,dapibus nisl at neque,dapibus nisl at neque,1.44E+12,1.44E+12,16671,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,phrase,English,1,18,can choose to take certain,can choose to take certain,1.44E+12,1.44E+12,19658,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,sentence,Latin,1,19,"Donec eleifend arcu nisi, sed dapibus nunc facilisis eget.","Donec eleifend arcu nisi, sed dapibus nunc facilisis eget.",1.44E+12,1.44E+12,14378,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,sentence,English,1,20,"Reluctantly, I hoisted the chalice to my lips.","Reluctantly, I hoisted the chalice to my lips.",1.44E+12,1.44E+12,13083,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,paragraph,Latin,1,21,"Suspendisse lobortis sed est pharetra aliquam. In convallis urna id diam porttitor vehicula. Maecenas luctus mauris porttitor erat dictum, nec scelerisque felis feugiat.","Suspendisse lobortis sed est pharetra aliquam. In convallis urna id diam porttitor vehicula. Maecenas luctus mauris porttitor erat dictum, nec scelerisque felis feugiat.",1.44E+12,1.44E+12,17202,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,paragraph,English,1,22,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,1.44E+12,1.44E+12,6234,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,phrase,Latin,1,23,ante id sem tincidunt,ante id sem tincidunt,1.44E+12,1.44E+12,5500,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,phrase,English,1,24,were hunting the animal,were hunting the animal,1.44E+12,1.44E+12,6257,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,sentence,Latin,1,25,"Praesent et nunc sollicitudin, vestibulum diam non, ultricies ligula.","Praesent et nunc sollicitudin, vestibulum diam non, ultricies ligula.",1.44E+12,1.44E+12,6189,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,sentence,English,1,26,Yet we could see that certain traditions were still intact.,Yet we could see that certain traditions were still intact.,1.44E+12,1.44E+12,4884,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,paragraph,Latin,1,27,"Ut ornare tellus justo, luctus auctor eros facilisis quis. Nulla ac aliquet urna, et mollis elit. Integer a felis vel quam ultricies elementum. Aenean vel fringilla massa.","Ut ornare tellus justo, luctus auctor eros facilisis quis. Nulla ac aliquet urna, et mollis elit. Integer a felis vel quam ultricies elementum. Aenean vel fringilla massa.",1.44E+12,1.44E+12,8046,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,paragraph,English,1,28,This means that there is need for a regular sequence of new editions. Normally one or two per year achieving that sequence can pose problems for the Editorial Secretary. Who may have too few or too many texts ready for publication at any one time.,This means that there is need for a regular sequence of new editions. Normally one or two per year achieving that sequence can pose problems for the Editorial Secretary. Who may have too few or too many texts ready for publication at any one time.,1.44E+12,1.44E+12,7333,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,phrase,Latin,1,29,ante id sem tincidunt,ante id sem tincidunt,1.44E+12,1.44E+12,6359,1,,,,,,,,,,,,,,,,
P06,AUTOCOMPASTE,phrase,English,1,30,were hunting the animal,were hunting the animal,1.44E+12,1.44E+12,5685,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,sentence,Latin,1,31,Maecenas sit amet purus at enim molestie maximus at vel est.,Maecenas sit amet purus at enim molestie maximus at vel est.,1.44E+12,1.44E+12,17777,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,sentence,English,1,32,"Leaders often split, forming branches in a tree-like pattern.","Leaders often split, forming branches in a tree-like pattern.",1.44E+12,1.44E+12,13938,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,paragraph,Latin,1,33,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus lacus neque, fringilla quis tortor nec, accumsan volutpat sem.","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus lacus neque, fringilla quis tortor nec, accumsan volutpat sem.",1.44E+12,1.44E+12,6225,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,paragraph,English,1,34,"During the 20th century, over 200,000 humpbacks were estimated to have been taken. Reducing the global population by over 90%. With North Atlantic populations estimated to have dropped to as low as 700 individuals.","During the 20th century, over 200,000 humpbacks were estimated to have been taken. Reducing the global population by over 90%. With North Atlantic populations estimated to have dropped to as low as 700 individuals.",1.44E+12,1.44E+12,25964,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,phrase,Latin,1,35,risus elit lobortis,risus elit lobortis,1.44E+12,1.44E+12,5108,1,,,,,,,,,,,,,,,,
P06,TRADITIONAL,phrase,English,1,36,directly involved more than,directly involved more than,1.44E+12,1.44E+12,5994,1,,,,,,,,,,,,,,,,
