Participant id,Technique,Granularity,Language,Block no,Condition no,Stimuli,User Response,Trial Start Time,Trial End Time,Trial Time,Accuracy,,Legend,,,T1G2L2,T1G2L1,T1G3L2,T1G3L1,T1G1L2,T1G1L1,T2G2L2,T2G2L1,T2G3L2,T2G3L1,T2G1L2,T2G1L1
P04,AUTOCOMPASTE,phrase,Latin,0,1,bibendum mi vel neque,bibendum mi vel neque,1.44333E+12,1.44333E+12,10969,1,,T1: Autocompaste,,Time,11075.5,10000.16667,7113.333333,4056.5,16414.33333,12377.33333,9389.166667,9822.333333,11364.66667,11536,7638.333333,9416.333333
P04,AUTOCOMPASTE,phrase,English,0,2,can choose to take certain,can choose to take certain,1.44333E+12,1.44333E+12,11628,1,,T2: Traditional,,Accuracy,1,1,1,1,1,1,1,1,1,1,1,1
P04,AUTOCOMPASTE,sentence,Latin,0,3,"Praesent et nunc sollicitudin, vestibulum diam non, ultricies ligula.","Praesent et nunc sollicitudin, vestibulum diam non, ultricies ligula.",1.44333E+12,1.44333E+12,6405,1,,G1: Paragraph,,Learning,-0.6279,0.0279,0.6269,-0.0164,-0.9145,-1.0632,0.1057,0.5619,2.2653,1.4519,-0.8575,1.2341
P04,AUTOCOMPASTE,sentence,English,0,4,It creeps in unbidden and corrupts everything it touches.,It creeps in unbidden and corrupts everything it touches.,1.44333E+12,1.44333E+12,4265,1,,G2: Phrase,,,,,,,,,,,,,,
P04,AUTOCOMPASTE,paragraph,Latin,0,5,"Praesent sem mi, pharetra in hendrerit in, egestas nec metus. Cras pretium velit ipsum, sed convallis orci dignissim ut. In mattis justo gravida fermentum hendrerit. Cras mattis justo eu nisl iaculis lobortis.","Praesent sem mi, pharetra in hendrerit in, egestas nec metus. Cras pretium velit ipsum, sed convallis orci dignissim ut. In mattis justo gravida fermentum hendrerit. Cras mattis justo eu nisl iaculis lobortis.",1.44333E+12,1.44333E+12,15414,1,,G3: Sentence,,Trial,T1G2L2,T1G2L1,T1G3L2,T1G3L1,T1G1L2,T1G1L1,T2G2L2,T2G2L1,T2G3L2,T2G3L1,T2G1L2,T2G1L1
P04,AUTOCOMPASTE,paragraph,English,0,6,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,1.44333E+12,1.44333E+12,13648,1,,L1: English,,1,10.969,11.628,6.405,4.265,15.414,13.648,7.089,13.538,6.286,9.65,6.936,5.713
P04,TRADITIONAL,phrase,Latin,0,7,ante id sem tincidunt,ante id sem tincidunt,1.44333E+12,1.44333E+12,7089,1,,L2: Latin,,2,9.575,8.804,5.001,3.787,23.688,18.143,9.481,7.25,7.586,15.095,12.719,8.772
P04,TRADITIONAL,phrase,English,0,8,propagate and split as they,propagate and split as they,1.44333E+12,1.44333E+12,13538,1,,,,3,17.667,9.177,4.634,4.148,16.737,11.605,9.748,6.297,6.997,8.494,4.348,8.13
P04,TRADITIONAL,sentence,Latin,0,9,"Morbi fringilla euismod dolor, eu consectetur sapien efficitur sed.","Morbi fringilla euismod dolor, eu consectetur sapien efficitur sed.",1.44333E+12,1.44333E+12,6286,1,,,,4,9.967,8.599,5.706,4.714,10.314,8.294,15.573,3.738,16.031,4.642,13.055,11.331
P04,TRADITIONAL,sentence,English,0,10,"The darkness pervades this holy place, he thought.","The darkness pervades this holy place, he thought.",1.44333E+12,1.44333E+12,9650,1,,,,5,11.04,11.429,8.159,2.79,19.558,12.051,5.229,14.445,16.001,4.236,4.872,8.943
