"Participant id","Technique","Granularity","Language","Trial no","Stimuli","User Response","Trial Start Time","Trial End Time","Trial Time","Accuracy"
"P04","AUTOCOMPASTE","sentence","English","1","What is acceptor atoms?","What is acceptor atoms?","1443332377567","1443332385040","7473","1"
"P04","AUTOCOMPASTE","paragraph","English","2","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443332385040","1443332392286","7246","1"
"P04","AUTOCOMPASTE","phrase","English","3","number of positive charges","number of positive charges","1443332392286","1443332400357","8071","1"
"P04","TRADITIONAL","sentence","English","4","What is acceptor atoms?","What is acceptor atoms?","1443332400357","1443332407983","7626","1"
"P04","TRADITIONAL","paragraph","English","5","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443332407983","1443332412760","4777","1"
"P04","TRADITIONAL","phrase","English","6","number of positive charges","number of positive charges","1443332412760","1443332417627","4867","1"
"P04","AUTOCOMPASTE","sentence","Latin","7","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","1443332417627","1443332423940","6313","1"
"P04","AUTOCOMPASTE","paragraph","Latin","8","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","1443332423940","1443332446711","22771","1"
"P04","AUTOCOMPASTE","phrase","Latin","9","fringilla tristique","fringilla tristique","1443332446711","1443332458666","11955","1"
"P04","TRADITIONAL","sentence","Latin","10","Aliquam ut commodo ex, in consequat nibh.","Aliquam ut commodo ex, in consequat nibh.","1443332458666","1443332467539","8873","1"
"P04","TRADITIONAL","paragraph","Latin","11","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","1443332467539","1443332471878","4339","1"
"P04","TRADITIONAL","phrase","Latin","12","sed consectetur tortor","sed consectetur tortor","1443332471878","1443332482544","10666","1"
