"Participant id","Technique","Granularity","Language","Trial no","Stimuli","User Response","Trial Start Time","Trial End Time","Trial Time","Accuracy"
"P11","AUTOCOMPASTE","sentence","English","1","What is acceptor atoms?","What is acceptor atoms?","1443282723721","1443282749328","25607","1"
"P11","AUTOCOMPASTE","paragraph","English","2","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443282749328","1443282755535","6207","1"
"P11","AUTOCOMPASTE","phrase","English","3","number of positive charges","The number of positive charges or protons in the nucleus of an atom.","1443282755535","1443282777803","22268","0"
"P11","TRADITIONAL","sentence","English","4","What is acceptor atoms?","What is acceptor atoms?","1443282777804","1443282786889","9085","1"
"P11","TRADITIONAL","paragraph","English","5","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443282786889","1443282796685","9796","1"
"P11","TRADITIONAL","phrase","English","6","number of positive charges","number of positive charges","1443282796685","1443282815717","19032","1"
"P11","AUTOCOMPASTE","sentence","Latin","7","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","1443282815718","1443282842559","26841","1"
"P11","AUTOCOMPASTE","paragraph","Latin","8","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","1443282842559","1443282923712","81153","1"
"P11","AUTOCOMPASTE","phrase","Latin","9","fringilla tristique","Integer semper, velit eget fringilla tristique, libero libero imperdiet metus, eu viverra nunc purus at magna.","1443282923712","1443282952143","28431","0"
"P11","TRADITIONAL","sentence","Latin","10","Aliquam ut commodo ex, in consequat nibh.","Aliquam ut commodo ex, in consequat nibh.","1443282952144","1443282959295","7151","1"
"P11","TRADITIONAL","paragraph","Latin","11","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","1443282959295","1443282967946","8651","1"
"P11","TRADITIONAL","phrase","Latin","12","sed consectetur tortor","sed consectetur tortor","1443282967946","1443282976876","8930","1"
