"Participant id","Technique","Granularity","Language","Trial no","Stimuli","User Response","Trial Start Time","Trial End Time","Trial Time","Accuracy"
"P07","AUTOCOMPASTE","sentence","English","1","What is acceptor atoms?","What is acceptor atoms?","1443338549135","1443338554600","5465","1"
"P07","AUTOCOMPASTE","paragraph","English","2","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443338554600","1443338562070","7470","1"
"P07","AUTOCOMPASTE","phrase","English","3","number of positive charges","number of positive charges","1443338562070","1443338568808","6738","1"
"P07","TRADITIONAL","sentence","English","4","What is acceptor atoms?","What is acceptor atoms?","1443338568808","1443338578664","9856","1"
"P07","TRADITIONAL","paragraph","English","5","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443338578664","1443338584322","5658","1"
"P07","TRADITIONAL","phrase","English","6","number of positive charges","number of positive charges","1443338584322","1443338592276","7954","1"
"P07","AUTOCOMPASTE","sentence","Latin","7","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","1443338592276","1443338597700","5424","1"
"P07","AUTOCOMPASTE","paragraph","Latin","8","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","1443338597700","1443338608274","10574","1"
"P07","AUTOCOMPASTE","phrase","Latin","9","fringilla tristique","fringilla tristique","1443338608274","1443338619467","11193","1"
"P07","TRADITIONAL","sentence","Latin","10","Aliquam ut commodo ex, in consequat nibh.","Aliquam ut commodo ex, in consequat nibh.","1443338619468","1443338629548","10080","1"
"P07","TRADITIONAL","paragraph","Latin","11","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","1443338629548","1443338634329","4781","1"
"P07","TRADITIONAL","phrase","Latin","12","sed consectetur tortor","sed consectetur tortor","1443338634329","1443338645455","11126","1"
