Participant id,Technique,Granularity,Language,Block no,Condition no,Stimuli,User Response,Trial Start Time,Trial End Time,Trial Time,Accuracy,,Legend,,,T2G1L1,T2G1L2,T2G2L1,T2G2L2,T2G3L1,T2G3L2,T1G1L1,T1G1L2,T1G2L1,T1G2L2,T1G3L1,T1G3L2
P07,TRADITIONAL,paragraph,English,0,1,The positively and negatively charged leaders proceed in opposite directions. Positive upwards within the cloud and negative towards the earth. Both ionic channels proceed. In their respective directions. In a number of successive spurts.,The positively and negatively charged leaders proceed in opposite directions. Positive upwards within the cloud and negative towards the earth. Both ionic channels proceed. In their respective directions. In a number of successive spurts.,1.44334E+12,1.44334E+12,15614,1,,T1: Autocompaste,,Time,6832.833333,5464.5,8492,6199,6704,10588,6243,8096.666667,14082.33333,11093.5,3979.833333,5106.5
P07,TRADITIONAL,paragraph,Latin,0,2,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus lacus neque, fringilla quis tortor nec, accumsan volutpat sem.","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus lacus neque, fringilla quis tortor nec, accumsan volutpat sem.",1.44334E+12,1.44334E+12,5152,1,,T2: Traditional,,Accuracy,0.833333333,1,1,1,1,1,1,1,1,1,1,1
P07,TRADITIONAL,phrase,English,0,3,propagate and split as they,propagate and split as they,1.44334E+12,1.44334E+12,16222,1,,G1: Paragraph,,Learning,-1.3116x ,0.4321,-1.9532,0.4686,-0.2467,1.2216,0.1998,0.1213,1.654,0.573,0.1351,0.3727
P07,TRADITIONAL,phrase,Latin,0,4,nunc a nisi fermentum,nunc a nisi fermentum,1.44334E+12,1.44334E+12,4736,1,,G2: Phrase,,,,,,,,,,,,,,
P07,TRADITIONAL,sentence,English,0,5,"Leaders often split, forming branches in a tree-like pattern.","Leaders often split, forming branches in a tree-like pattern.",1.44334E+12,1.44334E+12,8593,1,,G3: Sentence,,Trial,T2G1L1,T2G1L2,T2G2L1,T2G2L2,T2G3L1,T2G3L2,T1G1L1,T1G1L2,T1G2L1,T1G2L2,T1G3L1,T1G3L2
P07,TRADITIONAL,sentence,Latin,0,6,"Morbi fringilla euismod dolor, eu consectetur sapien efficitur sed.","Morbi fringilla euismod dolor, eu consectetur sapien efficitur sed.",1.44334E+12,1.44334E+12,5355,1,,L1: English,,1,15.614,5.152,16.222,4.736,8.593,5.355,6.458,6.03,9.551,10.374,3.699,3.635
P07,AUTOCOMPASTE,paragraph,English,0,7,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,1.44334E+12,1.44334E+12,6458,1,,L2: Latin,,2,4.083,4.522,5.458,5.207,5.501,6.942,6.095,9.654,8.896,10.075,3.164,5.377
P07,AUTOCOMPASTE,paragraph,Latin,0,8,"Cras scelerisque convallis elit, quis cursus justo auctor non. Aenean congue tortor vel ullamcorper lacinia. Proin elementum ullamcorper efficitur.","Cras scelerisque convallis elit, quis cursus justo auctor non. Aenean congue tortor vel ullamcorper lacinia. Proin elementum ullamcorper efficitur.",1.44334E+12,1.44334E+12,6030,1,,,,3,5.073,3.893,11.891,5.5,7.638,13.432,4.95,7.032,11.069,7.3,4.197,4.445
P07,AUTOCOMPASTE,phrase,English,0,9,directly involved more than,directly involved more than,1.44334E+12,1.44334E+12,9551,1,,,,4,4.668,4.016,6.402,5.637,4.105,18.721,4.86,10.62,26.022,13.816,4.62,5.175
P07,AUTOCOMPASTE,phrase,Latin,0,10,bibendum mi vel neque,bibendum mi vel neque,1.44334E+12,1.44334E+12,10374,1,,,,5,6.489,10.847,5.377,12.502,8.785,5.161,8.909,8.225,13.7,14.659,4.352,6.708
