"Participant id","Technique","Granularity","Language","Trial no","Stimuli","User Response","Trial Start Time","Trial End Time","Trial Time","Accuracy"
"P02","AUTOCOMPASTE","sentence","English","1","What is acceptor atoms?","What is acceptor atoms?","1443335659008","1443335671624","12616","1"
"P02","AUTOCOMPASTE","paragraph","English","2","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","","1443335671624","1443335672715","1091","0"
"P02","AUTOCOMPASTE","phrase","English","3","number of positive charges","","1443335672716","1443335673503","787","0"
"P02","TRADITIONAL","sentence","English","4","What is acceptor atoms?","","1443335673503","1443335674369","866","0"
"P02","TRADITIONAL","paragraph","English","5","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","","1443335674369","1443335675067","698","0"
"P02","TRADITIONAL","phrase","English","6","number of positive charges","","1443335675067","1443335676135","1068","0"
"P02","AUTOCOMPASTE","sentence","Latin","7","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","","1443335676135","1443335677069","934","0"
"P02","AUTOCOMPASTE","paragraph","Latin","8","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","","1443335677069","1443335677926","857","0"
"P02","AUTOCOMPASTE","phrase","Latin","9","fringilla tristique","","1443335677926","1443335679510","1584","0"
"P02","TRADITIONAL","sentence","Latin","10","Aliquam ut commodo ex, in consequat nibh.","","1443335679510","1443335681052","1542","0"
"P02","TRADITIONAL","paragraph","Latin","11","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","","1443335681052","1443335685788","4736","0"
"P02","TRADITIONAL","phrase","Latin","12","sed consectetur tortor","","1443335685788","1443335688870","3082","0"
