"Participant id","Technique","Granularity","Language","Trial no","Stimuli","User Response","Trial Start Time","Trial End Time","Trial Time","Accuracy"
"P09","AUTOCOMPASTE","sentence","English","1","What is acceptor atoms?","What is acceptor atoms?","1443245945929","1443245952584","6655","1"
"P09","AUTOCOMPASTE","paragraph","English","2","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443245952584","1443245973178","20594","1"
"P09","AUTOCOMPASTE","phrase","English","3","number of positive charges","number of positive charges","1443245973178","1443245987478","14300","1"
"P09","TRADITIONAL","sentence","English","4","What is acceptor atoms?","What is acceptor atoms?","1443245987478","1443245997289","9811","1"
"P09","TRADITIONAL","paragraph","English","5","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443245997289","1443246030653","33364","1"
"P09","TRADITIONAL","phrase","English","6","number of positive charges","number of positive charges","1443246030653","1443246038473","7820","1"
"P09","AUTOCOMPASTE","sentence","Latin","7","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","1443246038473","1443246045596","7123","1"
"P09","AUTOCOMPASTE","paragraph","Latin","8","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","1443246045596","1443246079124","33528","1"
"P09","AUTOCOMPASTE","phrase","Latin","9","fringilla tristique","fringilla tristique","1443246079124","1443246086872","7748","1"
"P09","TRADITIONAL","sentence","Latin","10","Aliquam ut commodo ex, in consequat nibh.","Aliquam ut commodo ex, in consequat nibh.","1443246086872","1443246094666","7794","1"
"P09","TRADITIONAL","paragraph","Latin","11","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","1443246094666","1443246112651","17985","1"
"P09","TRADITIONAL","phrase","Latin","12","sed consectetur tortor","sed consectetur tortor","1443246112652","1443246118663","6011","1"
